StockID,StockName,Date,Open,High,Low,Close,Volume,MA5,MA10,MA20,MA60,BB_Upper,BB_Lower
00631L,元大台灣50正2,2026-05-27,35.69,36.42,35.15,35.73,218317499,33.77,32.24,31.82,186.4,35.48,28.15
00631L,元大台灣50正2,2026-05-28,36.3,36.77,33.98,34.47,341625355,34.34,32.49,32.1,178.87,35.66,28.54
00631L,元大台灣50正2,2026-05-29,36.06,37.0,35.76,36.94,214462278,35.22,33.06,32.52,170.91,36.3,28.73
00631L,元大台灣50正2,2026-06-01,37.37,38.64,37.17,37.78,250870299,35.86,33.75,32.86,162.64,37.24,28.48
00631L,元大台灣50正2,2026-06-02,37.95,38.1,36.88,37.91,263894615,36.57,34.54,33.2,154.31,38.04,28.36
00631L,元大台灣50正2,2026-06-03,39.12,39.39,38.81,39.22,193364778,37.26,35.52,33.56,146.19,39.05,28.08
00631L,元大台灣50正2,2026-06-04,38.48,38.78,38.16,38.3,245990855,38.03,36.19,33.83,138.49,39.7,27.95
00631L,元大台灣50正2,2026-06-05,37.43,37.53,35.91,36.67,455919015,37.98,36.6,34.04,131.53,40.0,28.07
00631L,元大台灣50正2,2026-06-08,32.26,34.8,32.25,33.8,732939511,37.18,36.52,34.09,124.11,40.03,28.16
00631L,元大台灣50正2,2026-06-09,34.52,35.56,34.12,35.44,252529320,36.69,36.63,34.24,116.73,40.15,28.32
00631L,元大台灣50正2,2026-06-10,34.55,35.17,33.41,33.43,370031976,35.53,36.4,34.32,110.12,40.14,28.49
00631L,元大台灣50正2,2026-06-11,33.26,33.73,31.84,33.23,359116433,34.51,36.27,34.38,103.18,40.12,28.64
00631L,元大台灣50正2,2026-06-12,35.5,35.76,34.58,34.83,250734690,34.15,36.06,34.56,95.66,40.11,29.01
00631L,元大台灣50正2,2026-06-15,36.77,37.12,36.55,37.07,275707742,34.8,35.99,34.87,88.45,40.25,29.49
00631L,元大台灣50正2,2026-06-16,37.6,37.6,36.78,37.31,210802876,35.17,35.93,35.24,81.32,40.19,30.29
00631L,元大台灣50正2,2026-06-17,36.49,37.51,36.33,37.51,213209669,35.99,35.76,35.64,74.22,39.88,31.39
00631L,元大台灣50正2,2026-06-18,37.98,38.44,37.83,38.33,222547432,37.01,35.76,35.97,66.87,39.92,32.03
00631L,元大台灣50正2,2026-06-22,39.8,41.32,39.8,41.32,290716085,38.31,36.23,36.41,59.29,40.7,32.13
00631L,元大台灣50正2,2026-06-23,41.49,41.79,40.2,40.2,343870097,38.93,36.87,36.69,52.08,41.2,32.19
00631L,元大台灣50正2,2026-06-24,38.73,38.73,37.49,38.08,647855547,39.09,37.13,36.88,44.9,41.29,32.47
00631L,元大台灣50正2,2026-06-25,38.9,38.9,37.58,38.16,250647489,39.22,37.6,37.0,38.15,41.41,32.59
00631L,元大台灣50正2,2026-06-26,36.95,37.14,35.1,35.26,664206175,38.6,37.81,37.04,31.35,41.37,32.71
00631L,元大台灣50正2,2026-06-29,35.62,36.72,35.44,36.28,240459253,37.6,37.95,37.01,31.64,41.35,32.66
00631L,元大台灣50正2,2026-06-30,37.75,38.63,37.61,38.42,311004241,37.24,38.09,37.04,31.93,41.41,32.66
00631L,元大台灣50正2,2026-07-01,39.95,40.09,38.91,39.48,285176366,37.52,38.3,37.12,32.25,41.61,32.62
00631L,元大台灣50正2,2026-07-02,37.83,39.03,37.7,38.88,263558669,37.66,38.44,37.1,32.56,41.57,32.63
00631L,元大台灣50正2,2026-07-03,37.53,39.05,37.19,38.8,264692695,38.37,38.49,37.12,32.82,41.62,32.63
00631L,元大台灣50正2,2026-07-06,39.4,39.76,38.38,38.75,237352697,38.87,38.23,37.23,33.09,41.78,32.68
00631L,元大台灣50正2,2026-07-07,39.0,39.35,37.06,37.19,363737617,38.62,37.93,37.4,33.31,41.65,33.14
00631L,元大台灣50正2,2026-07-08,37.48,37.49,36.47,37.14,224186771,38.15,37.84,37.48,33.54,41.64,33.33
00631L,元大台灣50正2,2026-07-09,37.29,37.7,36.59,36.78,196478778,37.73,37.7,37.65,33.74,41.37,33.93
00631L,元大台灣50正2,2026-07-13,37.57,38.03,36.61,36.86,204239992,37.34,37.86,37.83,33.93,40.95,34.72
00631L,元大台灣50正2,2026-07-14,36.53,36.7,34.38,35.88,473311312,36.77,37.82,37.89,34.09,40.82,34.95
00631L,元大台灣50正2,2026-07-15,36.45,37.29,36.16,37.04,170539319,36.74,37.68,37.88,34.28,40.82,34.95
00631L,元大台灣50正2,2026-07-16,36.46,37.32,35.94,37.19,189403908,36.75,37.45,37.88,34.47,40.82,34.94
00631L,元大台灣50正2,2026-07-17,34.93,34.95,32.17,32.17,882224483,35.83,36.78,37.61,34.56,41.5,33.72
00631L,元大台灣50正2,2026-07-20,32.67,33.03,31.68,32.06,327989317,34.87,36.11,37.3,34.64,41.89,32.7
00631L,元大台灣50正2,2026-07-21,32.87,34.34,32.86,34.34,204454943,34.56,35.67,36.95,34.77,41.31,32.58
00631L,元大台灣50正2,2026-07-22,35.56,35.8,34.64,34.8,245350743,34.11,35.43,36.68,34.88,40.86,32.5
00631L,元大台灣50正2,2026-07-23,35.3,35.37,34.38,35.07,146154621,33.69,35.22,36.53,34.97,40.71,32.34
00631L,元大台灣50正2,2026-07-24,34.0,34.38,33.29,33.5,250696106,33.95,34.89,36.29,35.04,40.61,31.97
00631L,元大台灣50正2,2026-07-27,33.3,33.59,32.66,33.54,177120848,34.25,34.56,36.21,35.12,40.68,31.74
00631L,元大台灣50正2,2026-07-28,31.44,31.5,30.52,30.6,476819400,33.5,34.03,35.92,35.15,41.05,30.8
00631L,元大台灣50正2,2026-07-29,30.62,30.7,27.37,28.53,769391932,32.25,33.18,35.43,35.11,41.38,29.48
00631L,元大台灣50正2,2026-07-30,28.04,29.81,27.68,28.38,458059437,30.91,32.3,34.88,35.06,41.29,28.46
00631L,元大台灣50正2,2026-07-31,31.96,33.74,31.92,33.7,567457898,30.95,32.45,34.62,35.09,40.76,28.47
00631L,元大台灣50正2,2026-08-03,32.87,33.42,32.33,32.62,303690787,30.77,32.51,34.31,35.09,40.18,28.43
00631L,元大台灣50正2,2026-08-04,31.95,33.12,31.5,32.15,243711676,31.08,32.29,33.98,35.08,39.54,28.42
00631L,元大台灣50正2,2026-08-05,34.39,34.72,33.66,34.15,392064353,32.2,32.22,33.83,35.11,39.18,28.47
00631L,元大台灣50正2,2026-08-06,33.69,34.05,33.29,33.85,180160753,33.29,32.1,33.66,35.13,38.78,28.54
00631L,元大台灣50正2,2026-08-07,34.34,34.38,33.3,33.68,172376246,33.29,32.12,33.51,35.16,38.41,28.6
00631L,元大台灣50正2,2026-08-10,34.45,35.01,34.33,34.7,202840652,33.71,32.24,33.4,35.2,38.08,28.71
00631L,元大台灣50正2,2026-08-11,34.51,34.98,34.18,34.87,158664985,34.25,32.66,33.35,35.26,37.94,28.75
00631L,元大台灣50正2,2026-08-12,35.08,35.49,34.94,35.45,174469150,34.51,33.35,33.27,35.34,37.64,28.89
00631L,元大台灣50正2,2026-08-13,36.47,36.5,35.99,36.29,193958961,35.0,34.15,33.22,35.45,37.44,29.0
00631L,元大台灣50正2,2026-08-14,36.59,36.6,35.62,35.69,211997732,35.4,34.34,33.4,35.55,37.73,29.07
00631L,元大台灣50正2,2026-08-17,35.94,36.28,35.61,35.95,145512224,35.65,34.68,33.59,35.62,38.02,29.17
00631L,元大台灣50正2,2026-08-18,35.88,35.9,34.81,34.81,167876262,35.64,34.94,33.62,35.66,38.06,29.17
00631L,元大台灣50正2,2026-08-19,33.5,34.17,33.48,33.96,193543865,35.34,34.92,33.57,35.65,37.99,29.16
00631L,元大台灣50正2,2026-08-20,34.36,34.45,33.69,34.27,126269819,34.94,34.97,33.53,35.65,37.91,29.16
00631L,元大台灣50正2,2026-08-21,34.23,34.89,33.9,34.84,114459743,34.77,35.08,33.6,35.63,38.01,29.19
00631L,元大台灣50正2,2026-08-24,34.85,34.93,34.11,34.11,96025881,34.4,35.02,33.63,35.63,38.05,29.21
00631L,元大台灣50正2,2026-08-25,33.6,34.68,33.34,34.68,135598288,34.37,35.01,33.83,35.59,38.03,29.64
00631L,元大台灣50正2,2026-08-26,34.54,35.84,34.44,35.71,176717583,34.72,35.03,34.19,35.55,37.64,30.74
00631L,元大台灣50正2,2026-08-27,36.12,36.55,35.85,35.95,195673969,35.06,35.0,34.57,35.52,36.77,32.37
00631L,元大台灣50正2,2026-08-28,36.58,36.65,36.18,36.3,129529441,35.35,35.06,34.7,35.47,36.99,32.42
00631L,元大台灣50正2,2026-08-31,35.38,35.82,34.97,35.82,175429487,35.69,35.05,34.86,35.43,36.98,32.75
00631L,元大台灣50正2,2026-09-01,36.17,37.3,36.09,37.26,271660582,36.21,35.29,35.12,35.44,37.08,33.15
00631L,元大台灣50正2,2026-09-02,36.7,36.75,35.93,35.93,187809624,36.25,35.49,35.21,35.48,37.15,33.27
00631L,元大台灣50正2,2026-09-03,36.14,36.29,35.38,35.41,138859967,36.14,35.6,35.28,35.48,37.12,33.45
00631L,元大台灣50正2,2026-09-04,36.46,36.7,35.8,36.64,149757483,36.21,35.78,35.43,35.53,37.2,33.67
